n_removed,targeted_efficiency,targeted_resilience_index,targeted_largest_cc_fraction,targeted_active_largest_cc_fraction,random_efficiency,random_resilience_index,random_largest_cc_fraction,random_active_largest_cc_fraction,random_seed,efficiency_method,efficiency_k,efficiency_seed
0,0.00206533,1.0,0.989529,0.989529,0.00206533,1.0,0.989529,0.989529,43,sampled,256,42
1,0.00203404,0.984847,0.987784,0.98951,0.00205085,0.99299,0.987784,0.98951,43,sampled,256,42
2,0.00192605,0.932563,0.986038,0.989492,0.00203565,0.985628,0.986038,0.989492,43,sampled,256,42
3,0.00191352,0.926495,0.984293,0.989474,0.00202543,0.980678,0.982548,0.987719,43,sampled,256,42
4,0.00190593,0.922818,0.982548,0.989455,0.00201599,0.976107,0.980803,0.987698,43,sampled,256,42
5,0.00189491,0.917483,0.980803,0.989437,0.00201294,0.974634,0.977312,0.985915,43,sampled,256,42
6,0.00179238,0.867839,0.977312,0.987654,0.00199151,0.964256,0.975567,0.985891,43,sampled,256,42
7,0.00178999,0.866685,0.975567,0.987633,0.00198141,0.959366,0.972077,0.984099,43,sampled,256,42
8,0.00178318,0.863389,0.973822,0.987611,0.00195603,0.947077,0.970332,0.984071,43,sampled,256,42
9,0.00178128,0.862466,0.972077,0.987589,0.00194081,0.93971,0.968586,0.984043,43,sampled,256,42
10,0.00176802,0.856047,0.970332,0.987567,0.00193391,0.936365,0.966841,0.984014,43,sampled,256,42
11,0.00176534,0.854747,0.968586,0.987544,0.00193387,0.936346,0.966841,0.985765,43,sampled,256,42
12,0.00176358,0.853894,0.966841,0.987522,0.00191658,0.927978,0.965096,0.98574,43,sampled,256,42
13,0.00174003,0.842495,0.963351,0.985714,0.00191108,0.925311,0.963351,0.985714,43,sampled,256,42
14,0.00173442,0.839779,0.961606,0.985689,0.00188814,0.914206,0.95986,0.9839,43,sampled,256,42
15,0.00172495,0.835194,0.95986,0.985663,0.0018642,0.902617,0.958115,0.983871,43,sampled,256,42
16,0.00154308,0.747133,0.539267,0.554758,0.00184742,0.894489,0.95637,0.983842,43,sampled,256,42
17,0.0015304,0.740996,0.537522,0.553957,0.00184526,0.893446,0.954625,0.983813,43,sampled,256,42
18,0.00151779,0.734888,0.535777,0.553153,0.00182556,0.883907,0.95288,0.983784,43,sampled,256,42
19,0.00151246,0.732307,0.534031,0.552347,0.00182316,0.882744,0.949389,0.981949,43,sampled,256,42
20,0.00148894,0.720918,0.532286,0.551537,0.00180299,0.872979,0.947644,0.981917,43,sampled,256,42
21,0.00147466,0.714006,0.530541,0.550725,0.00179866,0.870881,0.945899,0.981884,43,sampled,256,42
22,0.00146038,0.707093,0.528796,0.549909,0.00179431,0.868777,0.944154,0.981851,43,sampled,256,42
23,0.00144544,0.699857,0.527051,0.549091,0.00178036,0.862023,0.942408,0.981818,43,sampled,256,42
24,0.00144132,0.697865,0.525305,0.54827,0.00177384,0.858865,0.940663,0.981785,43,sampled,256,42
25,0.00140204,0.678843,0.525305,0.54927,0.00177118,0.857574,0.938918,0.981752,43,sampled,256,42
